Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios,number_file
Andalucía,2020-03-17,683,7.97,11,683,11,47
Aragón,2020-03-17,207,15.69,12,207,12,47
Cantabria,2020-03-17,58,8.26,0,58,0,47
Castilla y León,2020-03-17,431,17.63,12,431,12,47
Castilla-La Mancha,2020-03-17,567,27.55,17,567,17,47
Cataluña,2020-03-17,1394,17.97,18,1394,18,47
Ceuta,2020-03-17,1,1.18,0,1,0,47
Comunidad de Madrid,2020-03-17,4871,72.37,355,4871,355,47
Comunidad Foral de Navarra,2020-03-17,313,47.69,2,313,2,47
Comunidad Valenciana,2020-03-17,541,10.51,13,541,13,47
España,2020-03-17,11178,23.45,491,11178,491,47
Extremadura,2020-03-17,153,13.77,3,153,3,47
Galicia,2020-03-17,292,10.82,3,292,3,47
Islas Baleares,2020-03-17,92,7.83,1,92,1,47
Islas Canarias,2020-03-17,148,6.55,2,148,2,47
La Rioja,2020-03-17,355,111.11,5,355,5,47
Melilla,2020-03-17,17,19.66,0,17,0,47
País Vasco,2020-03-17,765,34.06,36,765,36,47
Principado de Asturias,2020-03-17,193,18.77,1,193,1,47
Región de Murcia,2020-03-17,97,6.49,0,97,0,47
Andalucía,2020-03-18,859,10.07,19,176,8,48
Aragón,2020-03-18,226,17.13,13,19,1,48
Cantabria,2020-03-18,68,9.98,1,10,1,48
Castilla y León,2020-03-18,668,27.38,22,237,10,48
Castilla-La Mancha,2020-03-18,675,32.61,28,108,11,48
Cataluña,2020-03-18,1866,24.12,41,472,23,48
Ceuta,2020-03-18,1,1.18,0,0,0,48
Comunidad de Madrid,2020-03-18,5637,83.55,390,766,35,48
Comunidad Foral de Navarra,2020-03-18,386,58.54,3,73,1,48
Comunidad Valenciana,2020-03-18,726,14.13,22,185,9,48
España,2020-03-18,13716,28.75,598,2538,107,48
Extremadura,2020-03-18,194,17.61,6,41,3,48
Galicia,2020-03-18,341,12.59,3,49,0,48
Islas Baleares,2020-03-18,112,9.31,1,20,0,48
Islas Canarias,2020-03-18,181,8.08,3,33,1,48
La Rioja,2020-03-18,419,130.05,5,64,0,48
Melilla,2020-03-18,20,23.12,0,3,0,48
País Vasco,2020-03-18,973,43.3,40,208,4,48
Principado de Asturias,2020-03-18,242,23.46,1,49,0,48
Región de Murcia,2020-03-18,122,8.17,0,25,0,48
Andalucía,2020-03-19,1008,11.84,23,149,4,49
Aragón,2020-03-19,281,21.22,15,55,2,49
Cantabria,2020-03-19,83,12.56,1,15,0,49
Castilla y León,2020-03-19,868,35.72,29,200,7,49
Castilla-La Mancha,2020-03-19,801,38.76,42,126,14,49
Cataluña,2020-03-19,2702,34.89,55,836,14,49
Ceuta,2020-03-19,1,1.18,0,0,0,49
Comunidad de Madrid,2020-03-19,6777,100.35,498,1140,108,49
Comunidad Foral de Navarra,2020-03-19,482,73.22,4,96,1,49
Comunidad Valenciana,2020-03-19,921,18.03,24,195,2,49
España,2020-03-19,17147,35.96,767,3431,169,49
Extremadura,2020-03-19,241,22.01,8,47,2,49
Galicia,2020-03-19,453,16.74,4,112,1,49
Islas Baleares,2020-03-19,169,14.18,2,57,1,49
Islas Canarias,2020-03-19,220,9.84,3,39,0,49
La Rioja,2020-03-19,468,144.26,5,49,0,49
Melilla,2020-03-19,23,26.59,0,3,0,49
País Vasco,2020-03-19,1190,53.13,53,217,13,49
Principado de Asturias,2020-03-19,292,28.06,1,50,0,49
Región de Murcia,2020-03-19,167,11.18,0,45,0,49
Andalucía,2020-03-20,1287,15.05,30,279,7,50
Aragón,2020-03-20,360,26.83,17,79,2,50
Cantabria,2020-03-20,144,23.06,1,61,0,50
Castilla y León,2020-03-20,1147,47.22,43,279,14,50
Castilla-La Mancha,2020-03-20,1044,50.62,62,243,20,50
Cataluña,2020-03-20,3270,42.29,82,568,27,50
Ceuta,2020-03-20,5,5.9,0,4,0,50
Comunidad de Madrid,2020-03-20,7165,105.47,628,388,130,50
Comunidad Foral de Navarra,2020-03-20,554,84.22,5,72,1,50
Comunidad Valenciana,2020-03-20,1105,21.48,33,184,9,50
España,2020-03-20,19980,41.71,1002,2833,235,50
Extremadura,2020-03-20,297,27.25,10,56,2,50
Galicia,2020-03-20,578,21.3,5,125,1,50
Islas Baleares,2020-03-20,203,17.14,2,34,0,50
Islas Canarias,2020-03-20,287,12.82,4,67,1,50
La Rioja,2020-03-20,497,147.73,7,29,2,50
Melilla,2020-03-20,24,27.75,0,1,0,50
País Vasco,2020-03-20,1465,64.32,71,275,18,50
Principado de Asturias,2020-03-20,344,33.14,2,52,1,50
Región de Murcia,2020-03-20,204,13.66,0,37,0,50
Andalucía,2020-03-21,1515,17.68,40,228,10,51
Aragón,2020-03-21,424,31.3,22,64,5,51
Cantabria,2020-03-21,215,35.28,2,71,1,51
Castilla y León,2020-03-21,1466,60.51,55,319,12,51
