CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha,number_file
Andalucía,322,NA,40,2.2,88,40,2020-08-20,189
Aragón,512,NA,60,13.4,57,46,2020-08-20,189
Cantabria,31,NA,4,2,6,0,2020-08-20,189
Castilla y León,197,NA,11,3.9,35,16,2020-08-20,189
Castilla-La Mancha,122,NA,11,2.7,20,9,2020-08-20,189
Cataluña,978,NA,136,4.3,107,113,2020-08-20,189
Ceuta,0,NA,0,0,0,0,2020-08-20,189
Comunidad de Madrid,1245,NA,126,9.5,226,133,2020-08-20,189
Comunidad Foral de Navarra,52,NA,6,3.5,5,8,2020-08-20,189
Comunidad Valenciana,347,NA,35,3.2,65,29,2020-08-20,189
España,4636,NA,522,4.3,758,468,2020-08-20,189
Extremadura,42,NA,6,1.6,9,3,2020-08-20,189
Galicia,86,NA,7,1.1,16,5,2020-08-20,189
Islas Baleares,159,NA,24,5.3,32,13,2020-08-20,189
Islas Canarias,103,NA,13,2.2,17,2,2020-08-20,189
La Rioja,13,NA,2,1.7,4,0,2020-08-20,189
Melilla,6,NA,0,3.4,0,0,2020-08-20,189
País Vasco,333,NA,27,8.3,57,46,2020-08-20,189
Principado de Asturias,20,NA,3,0.7,6,2,2020-08-20,189
Región de Murcia,68,NA,11,3.2,8,3,2020-08-20,189
Andalucía,315,NA,37,2.1,63,71,2020-08-21,190
Aragón,540,NA,60,13.6,70,54,2020-08-21,190
Cantabria,35,NA,4,2.2,7,2,2020-08-21,190
Castilla y León,210,NA,17,4,41,25,2020-08-21,190
Castilla-La Mancha,130,NA,10,2.9,23,15,2020-08-21,190
Cataluña,911,NA,121,4.2,85,168,2020-08-21,190
Ceuta,0,NA,0,0,0,0,2020-08-21,190
Comunidad de Madrid,1297,NA,137,9.8,217,152,2020-08-21,190
Comunidad Foral de Navarra,56,NA,8,3.2,14,9,2020-08-21,190
Comunidad Valenciana,339,NA,37,3,63,45,2020-08-21,190
España,4703,NA,541,4.4,765,658,2020-08-21,190
Extremadura,37,NA,7,1.2,6,1,2020-08-21,190
Galicia,87,NA,7,1.1,23,15,2020-08-21,190
Islas Baleares,165,NA,25,5.6,30,21,2020-08-21,190
Islas Canarias,96,NA,13,2,15,6,2020-08-21,190
La Rioja,18,NA,3,2.3,5,0,2020-08-21,190
Melilla,7,NA,0,4,1,0,2020-08-21,190
País Vasco,330,NA,30,9.1,67,61,2020-08-21,190
Principado de Asturias,21,NA,3,0.7,8,1,2020-08-21,190
Región de Murcia,109,NA,22,3.6,27,12,2020-08-21,190
Andalucía,369,NA,42,2.4,62,25,2020-08-24,191
Aragón,537,NA,64,13.7,34,26,2020-08-24,191
Cantabria,37,NA,2,2.4,7,2,2020-08-24,191
Castilla y León,248,NA,18,4.7,31,9,2020-08-24,191
Castilla-La Mancha,177,NA,16,4,24,2,2020-08-24,191
Cataluña,1011,NA,151,4.6,86,49,2020-08-24,191
Ceuta,1,NA,0,0.6,0,0,2020-08-24,191
Comunidad de Madrid,1544,NA,165,12,192,54,2020-08-24,191
Comunidad Foral de Navarra,54,NA,9,3.3,10,3,2020-08-24,191
Comunidad Valenciana,403,NA,46,3.7,68,16,2020-08-24,191
España,5484,NA,658,5.1,705,224,2020-08-24,191
Extremadura,40,NA,6,1.5,4,0,2020-08-24,191
Galicia,83,NA,10,1.1,16,2,2020-08-24,191
Islas Baleares,228,NA,33,7.5,40,10,2020-08-24,191
Islas Canarias,134,NA,22,2.8,15,1,2020-08-24,191
La Rioja,33,NA,3,4.6,9,0,2020-08-24,191
Melilla,8,NA,0,4.5,1,0,2020-08-24,191
País Vasco,404,NA,37,10,41,13,2020-08-24,191
Principado de Asturias,16,NA,3,0.5,6,2,2020-08-24,191
Región de Murcia,157,NA,31,5.2,59,10,2020-08-24,191
Andalucía,403,NA,43,2.6,70,33,2020-08-25,192
Aragón,523,NA,68,13.1,60,57,2020-08-25,192
Cantabria,40,NA,1,2.6,10,5,2020-08-25,192
Castilla y León,257,NA,19,5.1,51,60,2020-08-25,192
Castilla-La Mancha,187,NA,23,4.3,35,25,2020-08-25,192
Cataluña,1040,NA,155,4.6,115,124,2020-08-25,192
Ceuta,1,NA,0,0.6,0,0,2020-08-25,192
Comunidad de Madrid,1688,NA,175,12.8,285,205,2020-08-25,192
Comunidad Foral de Navarra,52,NA,9,3,5,11,2020-08-25,192
Comunidad Valenciana,386,NA,49,3.6,76,52,2020-08-25,192
España,5688,NA,677,5.3,903,699,2020-08-25,192
Extremadura,49,NA,5,1.6,7,3,2020-08-25,192
Galicia,105,NA,12,1.3,30,6,2020-08-25,192
Islas Baleares,238,NA,35,8.6,41,20,2020-08-25,192
Islas Canarias,151,NA,23,3.1,28,13,2020-08-25,192
La Rioja,35,NA,2,4.6,5,3,2020-08-25,192
Melilla,7,NA,1,4,1,2,2020-08-25,192
País Vasco,400,NA,39,9.7,53,63,2020-08-25,192
Principado de Asturias,19,NA,2,0.6,6,2,2020-08-25,192
Región de Murcia,107,NA,16,5,25,15,2020-08-25,192
Andalucía,451,NA,52,2.8,97,40,2020-08-26,193
Aragón,523,NA,66,13.1,54,39,2020-08-26,193
Cantabria,43,NA,0,2.8,12,2,2020-08-26,193
Castilla y León,268,NA,24,5.4,53,29,2020-08-26,193
Castilla-La Mancha,198,NA,24,4.5,34,20,2020-08-26,193
Cataluña,1023,NA,156,4.5,112,112,2020-08-26,193
Ceuta,1,NA,0,0.6,0,0,2020-08-26,193
Comunidad de Madrid,1793,NA,178,13.6,289,196,2020-08-26,193
Comunidad Foral de Navarra,58,NA,10,3.4,14,5,2020-08-26,193
Comunidad Valenciana,409,NA,47,3.7,76,40,2020-08-26,193
España,5903,NA,697,5.5,922,593,2020-08-26,193
Extremadura,38,NA,6,1.5,5,2,2020-08-26,193
Galicia,104,NA,10,1.5,19,8,2020-08-26,193
Islas Baleares,264,NA,37,8.7,40,23,2020-08-26,193
Islas Canarias,153,NA,27,3.2,34,14,2020-08-26,193
La Rioja,34,NA,2,4.4,4,5,2020-08-26,193
Melilla,4,NA,1,2.3,0,0,2020-08-26,193
País Vasco,401,NA,38,10.1,46,42,2020-08-26,193
Principado de Asturias,23,NA,2,0.7,8,1,2020-08-26,193
Región de Murcia,115,NA,17,5.4,25,15,2020-08-26,193
Andalucía,505,NA,62,3,119,47,2020-08-27,194
Aragón,513,NA,63,13,49,51,2020-08-27,194
Cantabria,41,NA,1,3,11,1,2020-08-27,194
Castilla y León,300,NA,26,6,49,25,2020-08-27,194
Castilla-La Mancha,202,NA,28,5,29,24,2020-08-27,194
Cataluña,1039,NA,147,4,117,108,2020-08-27,194
Ceuta,1,NA,0,1,0,0,2020-08-27,194
Comunidad de Madrid,1808,NA,176,13,258,201,2020-08-27,194
Comunidad Foral de Navarra,61,NA,9,4,11,5,2020-08-27,194
Comunidad Valenciana,407,NA,51,4,73,49,2020-08-27,194
España,6036,NA,715,5,880,644,2020-08-27,194
Extremadura,42,NA,10,2,3,4,2020-08-27,194
Galicia,120,NA,12,1,19,5,2020-08-27,194
Islas Baleares,258,NA,40,9,33,34,2020-08-27,194
Islas Canarias,164,NA,29,3,26,13,2020-08-27,194
La Rioja,39,NA,3,5,9,4,2020-08-27,194
Melilla,3,NA,1,2,0,1,2020-08-27,194
País Vasco,402,NA,38,10,55,53,2020-08-27,194
Principado de Asturias,23,NA,2,1,11,2,2020-08-27,194
Región de Murcia,108,NA,17,5,8,17,2020-08-27,194
Andalucía,524,NA,68,3,105,65,2020-08-28,195
Aragón,510,NA,62,13,66,56,2020-08-28,195
Cantabria,35,NA,2,2,7,5,2020-08-28,195
Castilla y León,313,NA,28,6,64,43,2020-08-28,195
Castilla-La Mancha,214,NA,27,5,27,12,2020-08-28,195
Cataluña,1043,NA,151,4,129,102,2020-08-28,195
Ceuta,2,NA,0,1,1,0,2020-08-28,195
Comunidad de Madrid,1916,NA,200,14,290,229,2020-08-28,195
Comunidad Foral de Navarra,61,NA,9,4,9,9,2020-08-28,195
Comunidad Valenciana,411,NA,54,4,62,49,2020-08-28,195
España,6224,NA,751,6,958,689,2020-08-28,195
Extremadura,41,NA,8,2,5,1,2020-08-28,195
Galicia,137,NA,13,2,18,5,2020-08-28,195
Islas Baleares,270,NA,42,9,35,20,2020-08-28,195
Islas Canarias,96,NA,16,2,13,6,2020-08-28,195
La Rioja,41,NA,3,5,7,5,2020-08-28,195
Melilla,4,NA,1,2,1,0,2020-08-28,195
País Vasco,419,NA,40,10,73,57,2020-08-28,195
Principado de Asturias,15,NA,1,1,6,2,2020-08-28,195
Región de Murcia,172,NA,26,6,40,23,2020-08-28,195
Andalucía,576,NA,83,4,85,40,2020-08-31,196
Aragón,522,NA,69,13,37,10,2020-08-31,196
Cantabria,39,NA,3,3,7,0,2020-08-31,196
Castilla y León,329,NA,31,7,35,10,2020-08-31,196
Castilla-La Mancha,277,NA,30,7,34,13,2020-08-31,196
Cataluña,1076,NA,160,5,77,43,2020-08-31,196
Ceuta,4,NA,0,2,1,0,2020-08-31,196
Comunidad de Madrid,2128,NA,218,16,221,99,2020-08-31,196
Comunidad Foral de Navarra,75,NA,9,4,11,5,2020-08-31,196
Comunidad Valenciana,464,NA,52,4,81,27,2020-08-31,196
España,6957,NA,846,6,750,301,2020-08-31,196
Extremadura,48,NA,13,2,11,1,2020-08-31,196
Galicia,132,NA,13,2,17,7,2020-08-31,196
Islas Baleares,309,NA,52,11,38,18,2020-08-31,196
Islas Canarias,232,NA,33,5,23,12,2020-08-31,196
La Rioja,50,NA,5,7,6,2,2020-08-31,196
Melilla,8,NA,1,5,4,0,2020-08-31,196
País Vasco,475,NA,45,11,27,11,2020-08-31,196
Principado de Asturias,55,NA,4,2,11,1,2020-08-31,196
Región de Murcia,158,NA,25,8,24,2,2020-08-31,196
Andalucía,628,NA,82,4,122,76,2020-09-01,197
Aragón,339,NA,43,14,32,28,2020-09-01,197
Cantabria,40,NA,6,3,12,6,2020-09-01,197
Castilla y León,350,NA,34,7,51,46,2020-09-01,197
Castilla-La Mancha,261,NA,29,7,24,15,2020-09-01,197
Cataluña,1089,NA,152,5,103,129,2020-09-01,197
Ceuta,4,NA,0,3,0,0,2020-09-01,197
Comunidad de Madrid,2029,NA,211,15,247,250,2020-09-01,197
Comunidad Foral de Navarra,76,NA,8,5,5,6,2020-09-01,197
Comunidad Valenciana,480,NA,53,4,77,55,2020-09-01,197
España,6807,NA,823,6,888,795,2020-09-01,197
Extremadura,55,NA,12,2,4,0,2020-09-01,197
Galicia,153,NA,13,2,28,11,2020-09-01,197
Islas Baleares,319,NA,51,11,36,30,2020-09-01,197
Islas Canarias,211,NA,38,4,28,20,2020-09-01,197
La Rioja,49,NA,6,6,7,8,2020-09-01,197
Melilla,6,NA,1,3,0,2,2020-09-01,197
País Vasco,463,NA,44,12,57,73,2020-09-01,197
Principado de Asturias,36,NA,3,1,10,4,2020-09-01,197
Región de Murcia,219,NA,37,7,45,36,2020-09-01,197
Andalucía,644,NA,84,4,126,61,2020-09-02,198
Aragón,492,NA,67,12,47,57,2020-09-02,198
Cantabria,52,NA,6,4,16,3,2020-09-02,198
Castilla y León,346,NA,33,7,54,40,2020-09-02,198
Castilla-La Mancha,299,NA,41,7,39,26,2020-09-02,198
Cataluña,1076,NA,157,5,125,102,2020-09-02,198
Ceuta,4,NA,0,3,0,0,2020-09-02,198
Comunidad de Madrid,2104,NA,216,15,285,264,2020-09-02,198
Comunidad Foral de Navarra,49,NA,10,3,9,6,2020-09-02,198
Comunidad Valenciana,464,NA,53,4,70,40,2020-09-02,198
España,6924,NA,874,6,1007,760,2020-09-02,198
