Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios
Andalucía,2020-03-17,683,7.97,11,683,11
Aragón,2020-03-17,207,15.69,12,207,12
Cantabria,2020-03-17,58,8.26,0,58,0
Castilla y León,2020-03-17,431,17.63,12,431,12
Castilla-La Mancha,2020-03-17,567,27.55,17,567,17
Cataluña,2020-03-17,1394,17.97,18,1394,18
Ceuta,2020-03-17,1,1.18,0,1,0
Comunidad de Madrid,2020-03-17,4871,72.37,355,4871,355
Comunidad Foral de Navarra,2020-03-17,313,47.69,2,313,2
Comunidad Valenciana,2020-03-17,541,10.51,13,541,13
España,2020-03-17,11178,23.45,491,11178,491
Extremadura,2020-03-17,153,13.77,3,153,3
Galicia,2020-03-17,292,10.82,3,292,3
Islas Baleares,2020-03-17,92,7.83,1,92,1
Islas Canarias,2020-03-17,148,6.55,2,148,2
La Rioja,2020-03-17,355,111.11,5,355,5
Melilla,2020-03-17,17,19.66,0,17,0
País Vasco,2020-03-17,765,34.06,36,765,36
Principado de Asturias,2020-03-17,193,18.77,1,193,1
Región de Murcia,2020-03-17,97,6.49,0,97,0
Andalucía,2020-03-18,859,10.07,19,176,8
Aragón,2020-03-18,226,17.13,13,19,1
Cantabria,2020-03-18,68,9.98,1,10,1
Castilla y León,2020-03-18,668,27.38,22,237,10
Castilla-La Mancha,2020-03-18,675,32.61,28,108,11
Cataluña,2020-03-18,1866,24.12,41,472,23
Ceuta,2020-03-18,1,1.18,0,0,0
Comunidad de Madrid,2020-03-18,5637,83.55,390,766,35
Comunidad Foral de Navarra,2020-03-18,386,58.54,3,73,1
Comunidad Valenciana,2020-03-18,726,14.13,22,185,9
España,2020-03-18,13716,28.75,598,2538,107
Extremadura,2020-03-18,194,17.61,6,41,3
Galicia,2020-03-18,341,12.59,3,49,0
Islas Baleares,2020-03-18,112,9.31,1,20,0
Islas Canarias,2020-03-18,181,8.08,3,33,1
La Rioja,2020-03-18,419,130.05,5,64,0
Melilla,2020-03-18,20,23.12,0,3,0
País Vasco,2020-03-18,973,43.3,40,208,4
Principado de Asturias,2020-03-18,242,23.46,1,49,0
Región de Murcia,2020-03-18,122,8.17,0,25,0
Andalucía,2020-03-19,1008,11.84,23,149,4
Aragón,2020-03-19,281,21.22,15,55,2
Cantabria,2020-03-19,83,12.56,1,15,0
Castilla y León,2020-03-19,868,35.72,29,200,7
Castilla-La Mancha,2020-03-19,801,38.76,42,126,14
Cataluña,2020-03-19,2702,34.89,55,836,14
Ceuta,2020-03-19,1,1.18,0,0,0
Comunidad de Madrid,2020-03-19,6777,100.35,498,1140,108
Comunidad Foral de Navarra,2020-03-19,482,73.22,4,96,1
Comunidad Valenciana,2020-03-19,921,18.03,24,195,2
España,2020-03-19,17147,35.96,767,3431,169
Extremadura,2020-03-19,241,22.01,8,47,2
Galicia,2020-03-19,453,16.74,4,112,1
Islas Baleares,2020-03-19,169,14.18,2,57,1
Islas Canarias,2020-03-19,220,9.84,3,39,0
La Rioja,2020-03-19,468,144.26,5,49,0
Melilla,2020-03-19,23,26.59,0,3,0
País Vasco,2020-03-19,1190,53.13,53,217,13
Principado de Asturias,2020-03-19,292,28.06,1,50,0
Región de Murcia,2020-03-19,167,11.18,0,45,0
Andalucía,2020-03-20,1287,15.05,30,279,7
Aragón,2020-03-20,360,26.83,17,79,2
Cantabria,2020-03-20,144,23.06,1,61,0
Castilla y León,2020-03-20,1147,47.22,43,279,14
Castilla-La Mancha,2020-03-20,1044,50.62,62,243,20
