CCAA,Total_Ingresados,PercCamasCovid,UCI,PerCamasUCI,Ingresos24h,Altas24h,fecha
Andalucía,322,NA,40,22,88,40,2020-08-20
Aragón,512,NA,60,134,57,46,2020-08-20
Cantabria,31,NA,4,2,6,0,2020-08-20
Castilla y León,197,NA,11,39,35,16,2020-08-20
Castilla-La Mancha,122,NA,11,27,20,9,2020-08-20
Cataluña,978,NA,136,43,107,113,2020-08-20
Ceuta,0,NA,0,0,0,0,2020-08-20
Comunidad de Madrid,1245,NA,126,95,226,133,2020-08-20
Comunidad Foral de Navarra,52,NA,6,35,5,8,2020-08-20
Comunidad Valenciana,347,NA,35,32,65,29,2020-08-20
España,4636,NA,522,43,758,468,2020-08-20
Extremadura,42,NA,6,16,9,3,2020-08-20
Galicia,86,NA,7,11,16,5,2020-08-20
Islas Baleares,159,NA,24,53,32,13,2020-08-20
Islas Canarias,103,NA,13,22,17,2,2020-08-20
La Rioja,13,NA,2,17,4,0,2020-08-20
Melilla,6,NA,0,34,0,0,2020-08-20
País Vasco,333,NA,27,83,57,46,2020-08-20
Principado de Asturias,20,NA,3,7,6,2,2020-08-20
Región de Murcia,68,NA,11,32,8,3,2020-08-20
Andalucía,315,NA,37,21,63,71,2020-08-21
Aragón,540,NA,60,136,70,54,2020-08-21
Cantabria,35,NA,4,22,7,2,2020-08-21
Castilla y León,210,NA,17,4,41,25,2020-08-21
Castilla-La Mancha,130,NA,10,29,23,15,2020-08-21
Cataluña,911,NA,121,42,85,168,2020-08-21
Ceuta,0,NA,0,0,0,0,2020-08-21
Comunidad de Madrid,1297,NA,137,98,217,152,2020-08-21
Comunidad Foral de Navarra,56,NA,8,32,14,9,2020-08-21
Comunidad Valenciana,339,NA,37,3,63,45,2020-08-21
España,4703,NA,541,44,765,658,2020-08-21
Extremadura,37,NA,7,12,6,1,2020-08-21
Galicia,87,NA,7,11,23,15,2020-08-21
Islas Baleares,165,NA,25,56,30,21,2020-08-21
Islas Canarias,96,NA,13,2,15,6,2020-08-21
La Rioja,18,NA,3,23,5,0,2020-08-21
Melilla,7,NA,0,4,1,0,2020-08-21
País Vasco,330,NA,30,91,67,61,2020-08-21
Principado de Asturias,21,NA,3,7,8,1,2020-08-21
Región de Murcia,109,NA,22,36,27,12,2020-08-21
Andalucía,369,NA,42,24,62,25,2020-08-24
Aragón,537,NA,64,137,34,26,2020-08-24
Cantabria,37,NA,2,24,7,2,2020-08-24
Castilla y León,248,NA,18,47,31,9,2020-08-24
Castilla-La Mancha,177,NA,16,4,24,2,2020-08-24
Cataluña,1011,NA,151,46,86,49,2020-08-24
Ceuta,1,NA,0,6,0,0,2020-08-24
Comunidad de Madrid,1544,NA,165,12,192,54,2020-08-24
Comunidad Foral de Navarra,54,NA,9,33,10,3,2020-08-24
Comunidad Valenciana,403,NA,46,37,68,16,2020-08-24
España,5484,NA,658,51,705,224,2020-08-24
Extremadura,40,NA,6,15,4,0,2020-08-24
Galicia,83,NA,10,11,16,2,2020-08-24
Islas Baleares,228,NA,33,75,40,10,2020-08-24
Islas Canarias,134,NA,22,28,15,1,2020-08-24
La Rioja,33,NA,3,46,9,0,2020-08-24
Melilla,8,NA,0,45,1,0,2020-08-24
País Vasco,404,NA,37,10,41,13,2020-08-24
Principado de Asturias,16,NA,3,5,6,2,2020-08-24
Región de Murcia,157,NA,31,52,59,10,2020-08-24
Andalucía,403,NA,43,26,70,33,2020-08-25
Aragón,523,NA,68,131,60,57,2020-08-25
Cantabria,40,NA,1,26,10,5,2020-08-25
Castilla y León,257,NA,19,51,51,60,2020-08-25
Castilla-La Mancha,187,NA,23,43,35,25,2020-08-25
Cataluña,1040,NA,155,46,115,124,2020-08-25
Ceuta,1,NA,0,6,0,0,2020-08-25
Comunidad de Madrid,1688,NA,175,128,285,205,2020-08-25
Comunidad Foral de Navarra,52,NA,9,3,5,11,2020-08-25
Comunidad Valenciana,386,NA,49,36,76,52,2020-08-25
España,5688,NA,677,53,903,699,2020-08-25
Extremadura,49,NA,5,16,7,3,2020-08-25
Galicia,105,NA,12,13,30,6,2020-08-25
Islas Baleares,238,NA,35,86,41,20,2020-08-25
Islas Canarias,151,NA,23,31,28,13,2020-08-25
La Rioja,35,NA,2,46,5,3,2020-08-25
Melilla,7,NA,1,4,1,2,2020-08-25
País Vasco,400,NA,39,97,53,63,2020-08-25
Principado de Asturias,19,NA,2,6,6,2,2020-08-25
Región de Murcia,107,NA,16,5,25,15,2020-08-25
Andalucía,451,NA,52,28,97,40,2020-08-26
Aragón,523,NA,66,131,54,39,2020-08-26
Cantabria,43,NA,0,28,12,2,2020-08-26
Castilla y León,268,NA,24,54,53,29,2020-08-26
Castilla-La Mancha,198,NA,24,45,34,20,2020-08-26
Cataluña,1023,NA,156,45,112,112,2020-08-26
Ceuta,1,NA,0,6,0,0,2020-08-26
Comunidad de Madrid,1793,NA,178,136,289,196,2020-08-26
Comunidad Foral de Navarra,58,NA,10,34,14,5,2020-08-26
Comunidad Valenciana,409,NA,47,37,76,40,2020-08-26
España,5903,NA,697,55,922,593,2020-08-26
Extremadura,38,NA,6,15,5,2,2020-08-26
Galicia,104,NA,10,15,19,8,2020-08-26
Islas Baleares,264,NA,37,87,40,23,2020-08-26
Islas Canarias,153,NA,27,32,34,14,2020-08-26
La Rioja,34,NA,2,44,4,5,2020-08-26
Melilla,4,NA,1,23,0,0,2020-08-26
País Vasco,401,NA,38,101,46,42,2020-08-26
