Comunidad,Pfizer,Moderna,AstraZeneca,Janssen,Entregadas,Administradas,PercAdministradas,Personas1Dosis,Personas2Dosis,fecha,Poblacion,percvacunados
Andalucía,NA,NA,NA,NA,140295,53934,38.4,NA,NA,2021-01-07,8464411,NA
Aragón,NA,NA,NA,NA,23715,6186,26.1,NA,NA,2021-01-07,1329391,NA
Cantabria,NA,NA,NA,NA,11850,1564,13.2,NA,NA,2021-01-07,582905,NA
Castilla y León,NA,NA,NA,NA,51390,22103,43,NA,NA,2021-01-07,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,7666,21.6,NA,NA,2021-01-07,2045221,NA
Cataluña,NA,NA,NA,NA,120545,24515,20.3,NA,NA,2021-01-07,7780479,NA
Ceuta,NA,NA,NA,NA,1005,576,57.3,NA,NA,2021-01-07,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,11337,11.5,NA,NA,2021-01-07,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,2960,25,NA,NA,2021-01-07,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,11677,19.1,NA,NA,2021-01-07,5057353,NA
Extremadura,NA,NA,NA,NA,21725,3309,15.2,NA,NA,2021-01-07,1063987,NA
Galicia,NA,NA,NA,NA,37555,20265,54,NA,NA,2021-01-07,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,3190,24.8,NA,NA,2021-01-07,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,7330,26.5,NA,NA,2021-01-07,2175952,NA
La Rioja,NA,NA,NA,NA,5915,858,14.5,NA,NA,2021-01-07,319914,NA
Melilla,NA,NA,NA,NA,1005,426,42.4,NA,NA,2021-01-07,87076,NA
País Vasco,NA,NA,NA,NA,31605,7734,24.5,NA,NA,2021-01-07,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,14406,60.7,NA,NA,2021-01-07,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,7287,28.4,NA,NA,2021-01-07,1511251,NA
Andalucía,NA,NA,NA,NA,140295,69445,49.5,NA,NA,2021-01-08,8464411,NA
Aragón,NA,NA,NA,NA,23715,9944,41.9,NA,NA,2021-01-08,1329391,NA
Cantabria,NA,NA,NA,NA,11850,2334,19.7,NA,NA,2021-01-08,582905,NA
Castilla y León,NA,NA,NA,NA,51390,28325,55.1,NA,NA,2021-01-08,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,12380,34.8,NA,NA,2021-01-08,2045221,NA
Cataluña,NA,NA,NA,NA,120545,38826,32.2,NA,NA,2021-01-08,7780479,NA
Ceuta,NA,NA,NA,NA,1005,637,63.4,NA,NA,2021-01-08,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,14152,14.3,NA,NA,2021-01-08,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,3703,31.2,NA,NA,2021-01-08,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,15965,26.1,NA,NA,2021-01-08,5057353,NA
Extremadura,NA,NA,NA,NA,21725,4727,21.8,NA,NA,2021-01-08,1063987,NA
Galicia,NA,NA,NA,NA,37555,24750,65.9,NA,NA,2021-01-08,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4257,33.2,NA,NA,2021-01-08,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,9572,34.6,NA,NA,2021-01-08,2175952,NA
La Rioja,NA,NA,NA,NA,5915,1674,28.3,NA,NA,2021-01-08,319914,NA
Melilla,NA,NA,NA,NA,1005,673,67,NA,NA,2021-01-08,87076,NA
País Vasco,NA,NA,NA,NA,31605,9811,31,NA,NA,2021-01-08,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,17843,75.2,NA,NA,2021-01-08,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,8958,34.9,NA,NA,2021-01-08,1511251,NA
Andalucía,NA,NA,NA,NA,140295,81387,58,NA,NA,2021-01-11,8464411,NA
Aragón,NA,NA,NA,NA,23715,10998,46.4,NA,NA,2021-01-11,1329391,NA
Cantabria,NA,NA,NA,NA,11850,8474,71.5,NA,NA,2021-01-11,582905,NA
Castilla y León,NA,NA,NA,NA,51390,36205,70.5,NA,NA,2021-01-11,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,19209,54,NA,NA,2021-01-11,2045221,NA
Cataluña,NA,NA,NA,NA,120545,68405,56.7,NA,NA,2021-01-11,7780479,NA
Ceuta,NA,NA,NA,NA,1005,698,69.5,NA,NA,2021-01-11,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,24897,25.2,NA,NA,2021-01-11,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,5468,46.1,NA,NA,2021-01-11,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,45674,74.6,NA,NA,2021-01-11,5057353,NA
Extremadura,NA,NA,NA,NA,21725,9303,42.8,NA,NA,2021-01-11,1063987,NA
Galicia,NA,NA,NA,NA,37555,30418,81,NA,NA,2021-01-11,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4652,36.2,NA,NA,2021-01-11,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,13607,49.2,NA,NA,2021-01-11,2175952,NA
La Rioja,NA,NA,NA,NA,5915,3457,58.4,NA,NA,2021-01-11,319914,NA
Melilla,NA,NA,NA,NA,1005,832,82.8,NA,NA,2021-01-11,87076,NA
País Vasco,NA,NA,NA,NA,31605,13103,41.5,NA,NA,2021-01-11,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,18943,79.9,NA,NA,2021-01-11,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,10361,40.3,NA,NA,2021-01-11,1511251,NA
Andalucía,NA,NA,NA,NA,140295,94879,67.6,NA,NA,2021-01-12,8464411,NA
Aragón,NA,NA,NA,NA,23715,11983,50.5,NA,NA,2021-01-12,1329391,NA
Cantabria,NA,NA,NA,NA,11850,9527,80.4,NA,NA,2021-01-12,582905,NA
Castilla y León,NA,NA,NA,NA,51390,41340,80.4,NA,NA,2021-01-12,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,35550,23342,65.7,NA,NA,2021-01-12,2045221,NA
Cataluña,NA,NA,NA,NA,120545,82785,68.7,NA,NA,2021-01-12,7780479,NA
Ceuta,NA,NA,NA,NA,1005,758,75.4,NA,NA,2021-01-12,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,98790,35949,36.4,NA,NA,2021-01-12,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,11850,6557,55.3,NA,NA,2021-01-12,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,61225,57223,93.5,NA,NA,2021-01-12,5057353,NA
Extremadura,NA,NA,NA,NA,21725,11346,52.2,NA,NA,2021-01-12,1063987,NA
Galicia,NA,NA,NA,NA,37555,33346,88.8,NA,NA,2021-01-12,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4835,37.7,NA,NA,2021-01-12,1171543,NA
Islas Canarias,NA,NA,NA,NA,27660,15328,55.4,NA,NA,2021-01-12,2175952,NA
La Rioja,NA,NA,NA,NA,5915,3826,64.7,NA,NA,2021-01-12,319914,NA
Melilla,NA,NA,NA,NA,1005,1005,100,NA,NA,2021-01-12,87076,NA
País Vasco,NA,NA,NA,NA,31605,15393,48.7,NA,NA,2021-01-12,2220504,NA
Principado de Asturias,NA,NA,NA,NA,23720,22428,94.6,NA,NA,2021-01-12,1018784,NA
Región de Murcia,NA,NA,NA,NA,25685,16191,63,NA,NA,2021-01-12,1511251,NA
Andalucía,NA,NA,NA,NA,209520,109831,52.4,NA,NA,2021-01-13,8464411,NA
Aragón,NA,NA,NA,NA,35415,17043,48.1,NA,NA,2021-01-13,1329391,NA
Cantabria,NA,NA,NA,NA,17700,11302,63.9,NA,NA,2021-01-13,582905,NA
Castilla y León,NA,NA,NA,NA,76740,48243,62.9,NA,NA,2021-01-13,2394918,NA
Castilla-La Mancha,NA,NA,NA,NA,53100,26879,50.6,NA,NA,2021-01-13,2045221,NA
Cataluña,NA,NA,NA,NA,180020,92133,51.2,NA,NA,2021-01-13,7780479,NA
Ceuta,NA,NA,NA,NA,1005,820,81.6,NA,NA,2021-01-13,84202,NA
Comunidad de Madrid,NA,NA,NA,NA,147540,49228,33.4,NA,NA,2021-01-13,6779888,NA
Comunidad Foral de Navarra,NA,NA,NA,NA,17700,7420,41.9,NA,NA,2021-01-13,661197,NA
Comunidad Valenciana,NA,NA,NA,NA,91450,70870,77.5,NA,NA,2021-01-13,5057353,NA
Extremadura,NA,NA,NA,NA,32450,14293,44,NA,NA,2021-01-13,1063987,NA
Galicia,NA,NA,NA,NA,56080,37745,67.3,NA,NA,2021-01-13,2701819,NA
Islas Baleares,NA,NA,NA,NA,12840,4931,38.4,NA,NA,2021-01-13,1171543,NA
Islas Canarias,NA,NA,NA,NA,41310,22290,54,NA,NA,2021-01-13,2175952,NA
La Rioja,NA,NA,NA,NA,8840,4651,52.6,NA,NA,2021-01-13,319914,NA
Melilla,NA,NA,NA,NA,1005,1005,100,NA,NA,2021-01-13,87076,NA
País Vasco,NA,NA,NA,NA,47205,17771,37.6,NA,NA,2021-01-13,2220504,NA
Principado de Asturias,NA,NA,NA,NA,35420,25278,71.4,NA,NA,2021-01-13,1018784,NA
